Total,Demographic Pressures,Refugees and IDPs,Group Grievance,Human Flight,Uneven Development,Poverty and Economic Decline,Legitimacy of the State,Public Services,Human Rights,Security Apparatus,Factionalized Elites,External Intervention,Air Quality Index,Happiness Index,Global Warming Index,Global Peace Index,Technology Usage Index,Global Slavery Index
159.1,9.7,10.0,9.5,8.2,8.4,9.3,9.8,9.4,9.7,10.0,9.8,9.7,9.3,9.0,8.6,3.4,9.3,6.1
157.3,9.1,9.3,9.3,7.2,8.4,8.0,9.7,8.5,8.8,9.8,9.4,10.0,9.7,9.2,6.8,6.4,9.7,8.0
156.3,9.2,9.5,9.4,8.0,8.9,8.5,9.8,9.6,9.3,9.2,9.8,9.1,8.9,7.1,7.2,5.4,9.8,7.6
155.6,8.5,9.6,9.9,8.2,9.1,6.4,9.4,9.0,9.7,9.6,9.9,9.5,9.8,7.3,7.0,6.4,9.2,7.2
154.3,9.3,8.2,9.0,9.3,9.2,9.0,9.3,9.0,9.2,9.0,9.6,7.8,8.0,9.0,6.4,5.4,9.6,7.9
151.5,9.7,9.6,8.3,7.7,9.2,8.7,9.0,8.9,9.2,9.6,8.8,9.5,7.0,8.0,6.6,6.0,7.0,8.7
151.1,10.0,9.2,7.3,8.9,8.8,9.2,9.4,10.0,8.0,8.4,8.8,10.0,6.5,8.0,6.8,4.6,9.8,7.4
150.9,8.3,9.0,9.0,8.9,9.0,7.0,8.7,8.0,8.6,9.5,9.6,9.3,9.0,8.1,6.0,6.6,9.0,7.4
147.4,8.8,9.2,9.3,7.5,8.5,6.6,8.6,7.3,8.7,9.4,9.1,9.3,9.7,7.9,5.8,5.8,9.0,6.9
146.7,8.9,9.6,8.6,5.8,8.9,8.1,9.1,9.0,8.6,9.7,9.1,9.6,7.1,7.0,7.0,5.8,7.4,7.4
144.1,9.1,8.7,8.2,6.2,8.1,8.5,8.2,8.8,8.0,7.7,8.2,9.0,9.1,8.0,7.0,5.0,9.1,7.2
143.7,8.2,7.7,7.9,8.3,8.4,8.6,9.4,8.7,9.2,9.3,9.2,7.6,6.8,7.0,6.5,4.2,9.6,7.1
143.0,8.2,8.0,8.7,6.0,9.0,7.9,9.7,8.3,9.0,8.5,8.3,6.7,9.0,6.5,6.6,5.0,9.5,8.1
142.2,8.3,6.0,9.6,7.7,9.0,7.3,9.0,9.0,8.6,9.1,9.5,6.9,8.2,6.5,6.2,5.4,8.4,7.6
141.0,9.8,6.6,7.8,6.2,7.9,8.9,8.9,9.5,8.2,8.0,8.6,8.7,8.4,7.5,6.6,4.8,9.2,5.5
140.7,8.8,8.5,8.7,7.6,8.5,7.0,8.9,7.8,7.7,7.9,8.8,8.5,8.8,7.5,6.3,4.6,7.9,6.9
138.5,8.3,6.5,9.2,8.1,8.4,7.7,8.0,8.0,7.1,7.9,8.9,6.2,8.9,7.8,6.2,4.2,9.1,8.0
138.5,8.7,7.2,5.4,7.4,8.1,8.7,9.2,8.4,7.8,9.3,9.2,8.8,6.9,8.8,6.8,4.2,6.3,7.2
138.5,8.2,5.3,6.9,4.7,8.5,9.2,9.9,9.3,9.5,8.1,7.4,8.6,6.9,7.4,8.2,6.2,6.7,7.5
137.3,8.3,8.6,6.8,7.0,8.0,8.4,7.0,8.8,6.3,7.3,8.1,9.3,8.7,7.1,6.5,4.4,9.4,7.2
137.0,8.0,7.3,7.8,7.8,8.4,7.0,8.8,8.3,8.1,7.8,8.5,6.8,9.0,7.2,5.9,4.2,8.6,7.5
136.4,7.8,7.4,9.0,5.9,8.7,7.9,7.9,7.7,8.5,7.8,8.0,7.1,8.3,7.1,5.7,4.4,9.8,7.4
136.3,8.1,8.5,8.7,7.9,8.0,7.7,9.5,8.4,8.6,8.6,9.1,9.7,6.3,7.5,6.3,0.0,6.3,7.1
135.5,8.8,8.0,8.0,6.6,8.4,7.5,7.7,8.3,7.5,8.6,8.6,8.2,7.9,6.2,6.3,4.4,7.9,6.5
135.2,9.1,8.2,8.4,7.2,8.2,7.7,7.5,8.4,8.5,7.9,9.0,8.1,8.7,2.2,6.3,5.0,8.0,6.8
133.9,8.7,8.4,8.6,6.9,8.3,7.7,8.6,8.7,7.7,9.3,9.3,8.2,3.5,7.5,6.7,5.4,3.6,6.9
133.6,8.5,7.7,6.0,6.7,8.2,7.3,8.9,8.3,7.5,7.3,6.7,8.2,8.4,7.0,7.0,4.4,7.9,7.5
133.1,9.1,6.5,6.0,8.1,8.0,8.8,7.9,8.2,7.0,5.2,7.6,8.7,8.4,7.5,6.1,3.4,9.6,6.9
