Total,Demographic Pressures,Refugees and IDPs,Group Grievance,Human Flight,Uneven Development,Poverty and Economic Decline,Legitimacy of the State,Public Services,Human Rights,Security Apparatus,Factionalized Elites,External Intervention,Air Quality Index,Happiness Index,Global Warming Index,Global Peace Index,Technology Usage Index,Global Slavery Index
165.9,9.8,10.0,9.6,8.6,8.1,9.7,9.9,9.8,9.9,10.0,9.8,9.8,9.3,9.9,8.6,6.8,9.3,7.1
158.6,8.4,9.9,10.0,8.3,8.8,7.3,9.5,8.5,9.4,9.7,9.9,9.5,9.7,9.8,7.0,6.4,9.2,7.1
156.9,8.4,9.9,10.0,6.4,8.8,7.3,9.1,9.5,9.2,9.7,10.0,10.0,9.7,9.0,8.2,5.2,9.2,7.2
155.3,9.9,9.7,9.3,7.4,8.9,8.8,9.5,9.2,9.7,9.7,9.5,9.6,7.0,9.8,7.0,6.2,7.1,7.0
155.1,8.9,9.0,9.4,7.4,8.1,7.7,9.5,8.5,8.5,9.7,9.4,10.0,9.7,9.4,6.8,6.6,9.6,7.0
154.9,9.3,9.5,9.1,7.7,8.6,8.3,9.8,9.5,9.3,8.9,9.8,7.8,8.9,9.1,7.2,5.4,9.7,7.0
151.7,9.0,8.4,8.7,9.0,8.9,8.9,9.4,9.1,8.9,8.7,9.8,7.5,8.0,9.2,6.3,5.0,9.6,7.3
150.9,8.0,8.5,9.7,8.6,8.7,7.7,8.4,7.8,8.3,9.9,9.6,9.0,9.1,8.6,6.0,6.4,9.2,7.3
148.3,9.5,8.1,7.0,8.8,8.6,9.5,9.3,9.3,7.7,8.2,9.0,9.7,6.5,8.9,6.8,4.4,9.8,7.0
148.0,8.8,9.7,8.5,5.6,8.7,8.0,8.9,9.1,8.5,9.6,9.1,9.3,7.4,9.2,7.0,5.8,7.4,7.4
147.5,8.5,9.0,9.6,7.2,8.2,7.2,8.3,7.0,8.6,9.3,9.1,9.4,9.6,8.4,5.7,5.6,9.1,7.5
146.8,8.4,6.5,9.7,7.6,8.9,7.5,9.1,9.1,8.6,9.2,9.8,6.6,8.3,9.2,6.2,5.6,8.4,8.0
144.9,8.3,8.0,7.9,8.0,8.1,8.9,9.5,8.6,8.7,9.4,9.2,7.3,6.8,8.6,6.4,4.2,9.7,7.3
