Total,Demographic Pressures,Refugees and IDPs,Group Grievance,Human Flight,Uneven Development,Poverty and Economic Decline,Legitimacy of the State,Public Services,Human Rights,Security Apparatus,Factionalized Elites,External Intervention,Air Quality Index,Happiness Index,Global Warming Index,Global Peace Index,Technology Usage Index,Global Slavery Index
163.0,9.1,10.0,10.0,6.8,8.9,8.8,9.7,9.9,9.9,9.9,10.0,9.9,9.6,9.5,8.2,6.8,9,7.0
162.6,9.5,10.0,9.3,8.9,8.7,9.1,9.1,9.6,9.8,9.4,10.0,9.2,9.3,9.4,8.2,6.8,9.2,7.1
158.1,8.6,9.7,9.9,8.7,8.2,8.1,9.3,9.1,9.3,9.6,10.0,9.6,9.6,8.6,7.0,6.8,9,7.0
156.3,8.7,10.0,9.5,7.0,9.4,7.8,9.5,9.7,9.5,9.9,9.7,9.9,7.4,9.5,7.1,6.6,7.6,7.5
155.2,9.6,9.8,8.5,8.3,8.8,7.7,9.4,10.0,9.5,9.1,9.8,8.2,8.9,8.4,7.1,5.2,9.5,7.4
154.0,8.8,9.3,8.7,7.8,7.5,8.3,9.5,9.0,8.3,10.0,9.4,9.9,9.7,8.0,6.7,6.8,9.8,6.5
153.4,9.4,9.9,9.6,7.2,8.5,8.2,9.3,9.4,10.0,9.4,9.5,9.8,7.0,8.7,6.5,6.4,7,7.6
149.0,8.8,8.8,10.0,6.9,7.6,7.5,8.5,7.6,8.6,9.9,9.5,9.3,9.8,8.8,5.6,6.2,9,6.6
148.8,8.0,8.5,10.0,8.0,8.1,7.0,8.7,7.7,8.7,10.0,9.6,7.9,9.0,8.6,5.9,6.8,9.2,7.1
148.7,8.9,8.4,8.1,8.3,8.3,8.3,9.3,8.8,8.6,8.1,10.0,7.7,8.6,8.9,6.3,5.4,9.6,7.1
148.1,8.7,8.5,7.0,9.1,9.3,9.4,8.9,9.5,7.5,7.5,9.1,9.8,6.3,9.1,6.7,4.2,9.8,7.7
144.9,8.0,8.3,8.4,7.5,7.9,8.9,9.9,9.2,8.5,9.2,9.6,7.3,6.7,8.7,6.3,4.6,9.4,6.5
144.4,6.0,10.0,10.0,6.9,6.9,6.7,9.8,7.2,9.9,10.0,9.6,8.6,8.2,7.8,5.8,7.4,8,5.6
143.3,8.3,6.9,9.8,7.0,8.9,7.3,8.8,9.0,8.7,9.5,9.5,6.0,8.4,8.0,6.2,5.4,8.6,7.0
143.3,8.7,9.0,8.1,6.5,7.5,8.8,8.1,8.6,8.0,7.4,7.9,8.5,9.1,9.9,6.8,4.8,9.4,6.2
141.2,8.7,8.2,9.3,7.8,8.0,7.9,8.4,8.2,6.8,8.2,9.3,8.2,9.0,7.5,6.2,5.0,8,6.5
140.9,9.3,8.2,7.5,6.6,7.9,8.1,7.8,9.3,7.3,8.4,8.9,8.6,8.4,7.8,6.5,4.8,9.4,6.1
140.5,9.1,9.0,9.3,7.3,7.8,9.1,8.9,8.5,9.0,9.5,9.4,8.5,3.6,9.5,6.8,5.2,3.5,6.5
139.1,8.5,8.1,6.0,8.3,8.1,8.4,9.3,9.1,7.5,8.6,9.6,9.1,6.3,7.9,6.7,5.2,6.5,5.9
138.6,9.4,9.0,8.9,6.7,7.3,7.4,7.1,8.9,8.0,8.1,8.7,8.4,8.0,7.4,6.1,5.0,8.2,6.0
138.5,7.3,8.2,9.3,5.3,8.1,7.0,9.3,8.3,8.0,8.0,8.6,6.9,8.9,7.9,6.4,5.0,9.5,6.5
137.8,8.5,9.1,6.5,6.9,8.0,8.0,6.9,9.3,6.3,6.8,8.3,9.7,8.8,8.2,6.5,4.0,9.6,6.4
136.5,8.7,8.7,8.3,6.9,7.6,7.3,7.8,8.3,7.6,7.9,8.9,8.0,7.9,7.9,6.3,4.4,8,6.0
136.0,7.5,4.7,6.6,4.4,8.0,9.0,9.9,9.2,9.6,8.5,8.2,8.4,6.7,8.3,8.2,6.2,6.5,6.1
136.0,8.5,7.3,6.4,7.5,7.2,8.0,8.8,8.4,9.2,7.6,8.1,8.5,7.1,8.1,7.5,4.8,7.1,5.9
135.5,7.6,6.9,8.7,7.2,7.5,7.0,8.4,8.4,8.0,7.8,9.3,6.0,8.8,8.2,6.0,4.2,9.5,6.0
135.2,7.8,9.1,9.0,7.0,7.6,7.4,8.8,8.7,8.7,8.8,9.4,9.4,6.3,8.4,5.9,0.0,6,6.9
134.2,8.1,7.6,7.8,7.5,7.5,5.9,8.2,8.5,8.3,7.7,9.5,6.5,8.6,7.8,5.9,4.4,8.5,5.9
133.1,8.4,8.8,7.2,6.0,6.8,7.7,7.4,8.6,7.7,7.7,8.5,8.2,5.8,7.6,6.7,4.8,9.7,5.5
131.2,9.0,7.6,5.3,6.6,8.1,7.4,7.8,8.8,6.5,6.9,7.3,7.7,9.1,7.3,6.2,4.0,9.2,6.4
131.0,6.5,8.5,9.3,7.6,7.5,6.2,8.3,5.3,9.1,8.2,9.4,6.7,9.7,7.2,5.0,4.4,6,6.1
130.8,7.1,6.4,8.6,5.1,6.8,7.9,9.0,5.7,9.7,7.9,9.4,7.4,8.0,8.0,5.1,5.2,8,5.5
130.7,8.8,6.4,5.7,8.4,8.1,8.3,7.6,8.1,6.5,5.1,7.7,8.4,8.4,6.8,6.2,4.0,9.6,6.6
130.3,7.8,7.6,9.0,6.2,7.8,7.1,7.6,7.4,7.6,7.3,8.3,7.3,8.3,6.0,5.5,4.0,9.5,6.0
130.2,8.1,8.1,6.3,6.5,8.1,6.7,8.4,8.8,7.6,6.4,6.7,7.9,7.9,6.9,6.9,4.4,8,6.5
129.6,7.5,6.1,7.3,7.2,7.4,6.1,8.4,8.0,7.9,6.3,8.6,7.7,8.9,7.1,5.8,4.4,8.9,6.0
128.5,9.0,7.5,7.1,6.0,9.5,5.4,8.0,9.1,7.0,5.8,7.2,5.8,7.6,6.8,6.4,4.2,7.3,8.8
128.5,8.0,8.2,8.5,7.2,7.9,6.7,6.5,7.5,7.8,5.9,8.2,8.1,7.4,6.4,5.8,5.0,8,5.4
127.9,7.9,7.4,4.8,7.1,7.8,7.1,8.4,8.3,7.5,7.1,7.6,6.8,6.7,10.0,6.2,4.0,7.7,5.5
127.2,8.7,7.8,5.9,8.3,8.5,8.3,7.2,9.1,5.9,5.1,7.7,7.4,6.6,7.0,6.4,3.8,6.6,6.9
126.8,8.8,7.1,6.8,6.7,6.4,8.2,7.7,8.5,5.7,8.0,8.3,8.8,7.0,6.1,6.1,3.8,7.2,5.6
126.7,6.4,5.7,7.4,6.6,7.3,7.1,9.3,5.4,9.3,7.6,8.8,5.4,8.6,6.5,5.2,4.4,8.9,6.8
126.6,5.7,5.7,7.5,5.5,6.4,6.1,8.5,7.4,8.7,9.2,8.1,9.0,7.5,7.2,5.7,5.0,7.5,5.9
126.1,9.0,7.5,7.5,8.1,7.1,7.9,5.9,8.6,6.8,8.0,4.9,8.5,2.0,7.2,6.3,5.0,9.9,5.9
126.1,9.3,7.2,6.0,7.7,8.3,8.0,7.7,7.9,6.8,4.7,5.7,6.9,6.0,7.8,5.8,3.6,9.5,7.2
126.0,7.6,4.9,6.6,7.3,9.3,6.6,6.6,9.0,6.3,6.4,7.1,6.4,8.2,7.5,6.7,4.2,8.2,7.1
125.8,8.1,7.4,6.4,5.5,7.5,7.2,7.9,7.7,6.9,6.9,7.6,8.0,7.9,7.2,6.3,4.0,7.9,5.4
124.3,7.5,5.1,7.0,6.1,5.9,7.7,9.0,6.2,7.9,7.1,8.4,6.7,8.3,7.8,5.3,4.8,8.6,4.9
124.1,6.0,8.6,8.9,5.7,6.0,5.6,7.3,5.7,6.8,8.6,9.3,8.4,7.4,7.3,4.8,5.2,8,4.5
123.5,7.8,7.7,8.3,5.9,6.3,5.7,7.3,6.9,6.4,8.8,8.0,6.2,7.4,7.8,5.0,5.0,7.1,5.9
122.7,7.9,6.7,3.7,7.4,7.1,7.5,7.5,7.8,8.3,5.2,6.8,7.2,8.1,6.9,6.4,4.2,8,6.0
122.1,7.4,5.9,6.0,7.1,6.6,5.8,8.6,7.4,8.0,6.3,8.3,6.9,8.4,6.9,5.5,3.4,8,5.6
122.0,8.9,4.9,5.4,7.4,8.3,8.1,7.5,8.7,6.4,6.6,6.6,7.1,5.4,7.9,6.2,4.0,5.5,7.1
121.2,8.2,4.2,4.9,5.8,8.2,7.9,7.3,8.8,5.8,6.8,7.6,7.6,6.1,6.5,6.5,3.8,9,6.2
121.0,5.3,6.8,8.8,5.9,6.4,6.4,8.7,4.8,9.3,8.3,9.4,7.1,3.7,6.9,4.7,4.8,8.2,5.5
121.0,6.0,5.5,8.2,6.1,6.7,7.3,8.2,5.9,7.3,7.1,8.0,7.6,7.3,7.4,4.6,4.8,7.5,5.5
120.1,8.1,7.3,6.6,7.1,7.0,7.0,6.0,7.9,6.5,6.5,6.6,6.2,6.9,7.6,5.9,4.0,7,5.9
119.8,8.0,3.6,6.6,6.3,8.8,4.2,9.7,7.4,9.5,7.2,8.2,5.8,5.3,6.9,6.1,4.2,5.5,6.5
119.4,6.3,7.2,7.6,7.1,7.2,6.0,5.5,6.6,7.0,5.3,7.5,7.6,8.8,7.5,5.1,2.8,8.8,5.5
119.3,6.2,8.0,7.7,7.0,7.8,4.1,7.4,6.3,7.1,7.0,7.7,6.8,6.1,7.8,4.4,5.4,6.7,5.8
119.2,8.6,6.7,5.9,6.7,6.7,6.7,6.0,8.7,6.3,5.2,5.7,7.6,7.8,7.4,6.0,3.8,8,5.4
